 IR64-A009-07-33-05-02_Wildtype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Nov 10 2015 08:07:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LED2x3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,Oxygen%,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:02:10 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:06:27,21,3764,0,35.17457591,0.633440959,1812.324861,8.044316873,1.441500459,28.40417671,3.3,2.012826172,1,4.025652343,27.26693344,28.40417671,27.00015068,1998.651978,1956.591675,17.65212059,24.13716507,49.15544128,67.21418762,399.4651794,1998.618164,7.151970387,101.2413025,-6.476615429,0.129698664,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210500544,0.008044317,301.5541767,300.4169334,319.7788991,-0.419324533,3.885178489,38.37542972,14.23826465,27.83555508,3.758611945,0.5473196,2.44367803,1.314933915,0.348893511,183.4821294,0.926266264,66.9074849,1944.795903,0.012101231
2,09:10:02,21,3978.5,0,35.63997268,0.589965975,1803.360666,7.852027969,1.496349393,28.60634422,3.3,2.012826172,1,4.025652343,27.30462837,28.60634422,27.00022697,1999.354004,1957.210815,17.71727562,24.04866028,49.22796631,66.81990051,399.415802,1999.30957,9.008568764,101.2412262,-6.55522871,0.135878474,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210350915,0.007852028,301.7563442,300.4546284,319.8895241,-0.361651422,3.931065248,38.82870048,14.7800402,27.9554863,3.785003226,0.514556826,2.434715855,1.350287371,0.32761768,182.5744452,0.921393164,65.7230622,1945.258973,0.012041421
3,09:13:40,21,4197,0,34.04354185,0.558045073,1317.517186,7.715886559,1.543284888,28.82250023,3.3,2.012826172,1,4.025652343,27.34382057,28.82250023,27.00027657,1498.525879,1461.093994,17.8559761,24.07583809,49.49745941,66.73915863,399.5168457,1999.723145,12.14300537,101.2369461,-3.130546093,0.138235956,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210657108,0.007715887,301.9725002,300.4938206,319.955696,-0.327181431,3.980649211,39.32012338,15.24428529,28.0831604,3.813275885,0.490105531,2.437364323,1.375911562,0.311772262,133.3814164,0.901733353,64.83572369,1449.677514,0.015225715
4,09:17:19,21,4415.5,0,33.76556853,0.537904471,1023.656974,7.570645963,1.563665456,28.94486618,3.3,2.012826172,1,4.025652343,27.37018967,28.94486618,26.99820518,1198.185425,1163.021606,18.05286598,24.15528488,49.96369553,66.85295105,399.5080872,1999.466064,9.534478188,101.2322693,-1.220511913,0.138770014,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210630567,0.007570646,302.0948662,300.5201897,319.9145632,-0.281887352,4.00895976,39.60159925,15.44631437,28.15752792,3.829828892,0.474501903,2.445294304,1.384534588,0.301675199,103.6271184,0.880170212,64.46019353,1151.698344,0.018898482
5,09:20:50,21,4626.5,0,33.57507763,0.547064344,833.2343606,7.628317621,1.551855862,29.0259819,3.3,2.012826172,1,4.025652343,27.3956852,29.0259819,26.99908257,999.0767822,965.2547607,18.31102371,24.45915985,50.6007576,67.59053802,399.4336853,1999.014526,10.98150063,101.2286377,-0.307792187,0.141133219,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210405107,0.007628318,302.1759819,300.5456852,319.8423171,-0.310311613,4.027823293,39.78936578,15.33020593,28.21083355,3.841732397,0.481615418,2.475967431,1.365764966,0.306276914,84.34717921,0.863227403,64.95521978,953.9953794,0.022860452
6,09:24:21,21,4838,0,34.04971456,0.594077333,645.0547444,7.99709388,1.513292142,28.99145508,3.3,2.012826172,1,4.025652343,27.41790962,28.99145508,26.99687767,798.6484985,765.4562378,18.31765366,24.76180267,50.55101013,68.3348465,399.384552,1999.315552,9.582299232,101.2241516,0.61097002,0.138085276,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210256218,0.007997094,302.1414551,300.5679096,319.8904811,-0.445086932,4.01978461,39.71171451,14.94991183,28.20468235,3.840357148,0.517681548,2.506492468,1.33386468,0.329644657,65.29511925,0.842706235,66.10227327,754.0376873,0.029849483
7,09:27:53,21,5049.5,0,32.46799278,0.704875718,471.2362212,8.843605669,1.443884895,28.95063972,3.3,2.012826172,1,4.025652343,27.43130875,28.95063972,26.99834442,598.9515381,567.9793701,18.2330513,25.35372734,50.27817917,69.91365051,399.4561462,1999.261719,8.606101036,101.2243652,1.294929981,0.135401636,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,1.21047317,0.008843606,302.1006397,300.5813087,319.8818679,-0.76327695,4.010299851,39.61793035,14.26420301,28.19097424,3.837293912,0.599845207,2.566414956,1.270878955,0.383109291,47.70058737,0.829671368,68.33167922,557.091249,0.039824579
8,09:31:24,21,5261.5,0,26.51377522,0.808828202,304.2101957,9.908528682,1.441322248,28.80784988,3.3,2.012826172,1,4.025652343,27.44736099,28.80784988,26.99782944,398.4368591,373.4661255,17.06831169,25.05211258,47.02337265,69.01882172,399.2958679,1999.17334,8.43619442,101.2269592,1.777199268,0.12775889,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,1.209987479,0.009908529,301.9578499,300.597361,319.8677272,-1.154411417,3.977271427,39.29063421,14.23852163,28.12760544,3.82316111,0.673507964,2.535949179,1.287211931,0.431315599,30.79427308,0.814559005,68.82088053,364.5747475,0.05005013
