Photo,Ci,Tleaf,Press
35.57090568,1539.669071,30.8633213,101.1884308
34.25642556,1199.919134,30.45726776,101.1901169
33.73120025,981.2378944,30.07683372,101.1814575
33.11674227,832.639003,29.54125977,101.1796494
33.17332882,653.4328428,29.33135033,101.1766739
31.51763631,470.8028979,29.18751144,101.1792374
25.6231562,299.5055404,29.17291641,101.1841125
12.6514232,153.3857471,29.01300049,101.1886063
4.047571874,84.72096558,28.83711243,101.1858063
-0.879640312,50.611263,28.69392204,101.184494
-3.939094175,30.58537599,28.76841736,101.189621
