No	Vmax	Kcat	MW      
V1	120	16	588000
V2	1241.24	540 	45000 
V3	166.35	50 	180000 
V5	50.2	65 	70000 
V6	29.91	22 	160000 
V7	128.58	69 	160000 
V8	50.2	65 	70000 
V9	13.35	81 	66000 
V10	128.57	69 	160000 
V13	446.19	615 	96000 
V23	8.01	546 	210000 
V16	150	216 	325000 
V112	1572.6	292 	100000 
V113	171.47	200 	47000 
V121	43.68	437 	300000 
V122	99.19	97 	105000 
V123	300.29	1629 	90000 
V124	82.37	54 	90000 
V131	74.84	18 	270000 
V51	3.22	65 	70000 
V52	1.92	22 	160000 
V55	3.46	400 	53000 
V56	1.67	640 	480000 
V57	16.65	2500 	120000 
V58	0.5	1550 	390000 
V59	3.03	9240 	66000
